startDateTime,endDateTime,SHFMean,SHFMinimum,SHFMaximum,SHFVariance,SHFNumPts,SHFExpUncert,SHFStdErMean,SHFCalHeaterFlag,SHFCalHeaterQF,SHFCalPeriodFlag,SHFInSituCorFactor,SHFInSituCorQF,rangeFailQM,rangePassQM,rangeNAQM,persistenceFailQM,persistencePassQM,persistenceNAQM,stepFailQM,stepPassQM,stepNAQM,nullFailQM,nullPassQM,nullNAQM,gapFailQM,gapPassQM,gapNAQM,spikeFailQM,spikePassQM,spikeNAQM,SHFCalHeaterOnMetric,SHFCalHeaterOffMetric,SHFCalHeaterFailQM,SHFCalHeaterPassQM,SHFCalHeaterNAQM,SHFCalPeriodOnMetric,SHFCalPeriodOffMetric,SHFInSituCorFailQM,SHFInSituCorPassQM,SHFInSituCorNAQM,alphaQM,betaQM,finalQF,finalQFSciRvw
"2016-08-27T00:25:00Z","2016-08-27T00:26:00Z",,,,,,,,-1,-1,-1,,-1,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,1,
"2016-08-27T00:26:00Z","2016-08-27T00:27:00Z",,,,,,,,-1,-1,-1,,-1,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,1,
"2016-08-27T00:27:00Z","2016-08-27T00:28:00Z",,,,,,,,-1,-1,-1,,-1,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,1,
"2016-08-27T00:28:00Z","2016-08-27T00:29:00Z",,,,,,,,-1,-1,-1,,-1,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,1,
"2016-08-27T00:29:00Z","2016-08-27T00:30:00Z",,,,,,,,-1,-1,-1,,-1,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,1,
"2016-08-27T00:30:00Z","2016-08-27T00:31:00Z",,,,,,,,-1,-1,-1,,-1,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,1,
"2016-08-27T00:31:00Z","2016-08-27T00:32:00Z",,,,,,,,-1,-1,-1,,-1,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,1,
"2016-08-27T00:32:00Z","2016-08-27T00:33:00Z",,,,,,,,-1,-1,-1,,-1,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,1,
"2016-08-27T00:33:00Z","2016-08-27T00:34:00Z",,,,,,,,-1,-1,-1,,-1,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,1,
"2016-08-27T00:34:00Z","2016-08-27T00:35:00Z",,,,,,,,-1,-1,-1,,-1,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,1,
"2016-08-27T00:35:00Z","2016-08-27T00:36:00Z",,,,,,,,-1,-1,-1,,-1,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,1,
"2016-08-27T00:36:00Z","2016-08-27T00:37:00Z",,,,,,,,-1,-1,-1,,-1,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,1,
"2016-08-27T00:37:00Z","2016-08-27T00:38:00Z",,,,,,,,-1,-1,-1,,-1,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,1,
"2016-08-27T00:38:00Z","2016-08-27T00:39:00Z",,,,,,,,-1,-1,-1,,-1,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,1,
"2016-08-27T00:39:00Z","2016-08-27T00:40:00Z",,,,,,,,-1,-1,-1,,-1,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,1,
"2016-08-27T00:40:00Z","2016-08-27T00:41:00Z",,,,,,,,-1,-1,-1,,-1,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,1,
"2016-08-27T00:41:00Z","2016-08-27T00:42:00Z",,,,,,,,-1,-1,-1,,-1,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,1,
"2016-08-27T00:42:00Z","2016-08-27T00:43:00Z",,,,,,,,-1,-1,-1,,-1,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,1,
"2016-08-27T00:43:00Z","2016-08-27T00:44:00Z",,,,,,,,-1,-1,-1,,-1,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,1,
"2016-08-27T00:44:00Z","2016-08-27T00:45:00Z",,,,,,,,-1,-1,-1,,-1,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,1,
"2016-08-27T00:45:00Z","2016-08-27T00:46:00Z",,,,,,,,-1,-1,-1,,-1,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,1,
"2016-08-27T00:46:00Z","2016-08-27T00:47:00Z",,,,,,,,-1,-1,-1,,-1,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,1,
