uid,namedLocation,date,nonwoodyCollectDate,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,samplingImpractical,eventID,eventType,dataCollected,subplotsSampled,samplingProtocolVersion,targetTaxaPresent,woodyTargetTaxaPresent,nonWoodyTargetTaxaPresent,treesPresent,shrubsPresent,lianasPresent,cactiPresent,fernsPresent,yuccasPresent,palmsPresent,ocotillosPresent,xerophyllumPresent,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,nestedSubplotAreaOther,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,totalSampledAreaOther,remarks,measuredBy,recordedBy,dataQF
"e80f787f-cf60-4339-bf6c-3971fd48ebcf","CPER_048.basePlot.vst","2014-09-29",,"D10","CPER","CPER_048","tower","grasslandHerbaceous",40.818931,-104.748858,"WGS84",20.1,521179.13,4518687.34,"13N",1652.1,0.1,,"vst_CPER_2014",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,"noneSelected","noneSelected","10",400,400,400,80,"No qualifying stems for ShrubSapling or Liana","D10DPB11",,"legacyData"
"d2185c5d-a49b-4c0b-b980-1b7e43b83f6e","CPER_074.basePlot.vst","2014-09-29",,"D10","CPER","CPER_074","tower","grasslandHerbaceous",40.820001,-104.746711,"WGS84",10.1,521359.85,4518806.64,"13N",1646.1,0.1,,"vst_CPER_2014",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,"noneSelected","noneSelected","noneSelected",400,400,400,400,"No qualifying stems for ShrubSapling or Liana","D10DPB11",,"legacyData"
"107fed77-9bd7-4aad-ac4b-662acb11f4c3","CPER_045.basePlot.vst","2014-09-29",,"D10","CPER","CPER_045","tower","grasslandHerbaceous",40.817292,-104.750288,"WGS84",20.1,521059.06,4518505.06,"13N",1652.0,0.1,,"vst_CPER_2014",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,"noneSelected","noneSelected","noneSelected",400,400,400,400,"No qualifying stems for ShrubSapling or Liana","D10DPB11",,"legacyData"
"5a8c486a-1b35-4888-8f09-d09afad77df4","CPER_069.basePlot.vst","2014-09-29",,"D10","CPER","CPER_069","tower","grasslandHerbaceous",40.818644,-104.749581,"WGS84",10.1,521118.25,4518655.31,"13N",1652.8,0.1,,"vst_CPER_2014",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,"noneSelected","noneSelected","noneSelected",400,400,400,400,"No qualifying stems for ShrubSapling or Liana","D10DPB11",,"legacyData"
"8a11e14e-3120-43f8-b722-501426d7f24c","CPER_058.basePlot.vst","2014-09-29",,"D10","CPER","CPER_058","tower","grasslandHerbaceous",40.820271,-104.745646,"WGS84",10.1,521449.57,4518836.87,"13N",1647.0,0.1,,"vst_CPER_2014",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,"noneSelected","noneSelected","noneSelected",400,400,400,400,"No qualifying stems for ShrubSapling or Liana","D10DPB11",,"legacyData"
"1810345a-d90a-4aeb-afe1-45d62fe14315","CPER_053.basePlot.vst","2014-09-29",,"D10","CPER","CPER_053","tower","grasslandHerbaceous",40.817842,-104.749919,"WGS84",10.1,521090.00,4518566.20,"13N",1651.5,0.1,,"vst_CPER_2014",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,"noneSelected","noneSelected","10",400,400,400,80,"No qualifying stems for ShrubSapling or Liana","D10BPB11",,"legacyData"
"a36d292b-f97c-4546-a72f-0434d88df40f","CPER_071.basePlot.vst","2014-09-29",,"D10","CPER","CPER_071","tower","grasslandHerbaceous",40.819728,-104.745640,"WGS84",10.1,521450.25,4518776.60,"13N",1645.2,0.1,,"vst_CPER_2014",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,"noneSelected","noneSelected","noneSelected",400,400,400,400,"No qualifying stems for ShrubSapling or Liana","D10DPB11",,"legacyData"
"1a402748-93dc-4c8f-b1a2-0cf56f6f1cbb","CPER_061.basePlot.vst","2014-09-29",,"D10","CPER","CPER_061","tower","grasslandHerbaceous",40.818121,-104.750648,"WGS84",10.1,521028.44,4518597.00,"13N",1652.8,0.1,,"vst_CPER_2014",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,"noneSelected","noneSelected","10",400,400,400,80,"No qualifying stems for Liana","D10DPB11",,"legacyData"
"e9aeac4c-8280-4d88-a129-7c7440087506","CPER_046.basePlot.vst","2014-09-30",,"D10","CPER","CPER_046","tower","grasslandHerbaceous",40.817297,-104.747096,"WGS84",20.1,521328.25,4518506.39,"13N",1652.1,0.1,,"vst_CPER_2014",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,"noneSelected","noneSelected","10",400,400,400,80,"No qualifying stems for ShrubSapling or Liana","D10KJB24",,"legacyData"
"69dfe891-cdac-4fa2-83c8-a009d65d87c9","CPER_067.basePlot.vst","2014-09-30",,"D10","CPER","CPER_067","tower","grasslandHerbaceous",40.818646,-104.745295,"WGS84",10.1,521479.70,4518656.57,"13N",1645.5,0.1,,"vst_CPER_2014",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,"noneSelected","noneSelected","10",400,400,400,80,"No qualifying stems for ShrubSapling or Liana","D10KJB24",,"legacyData"
"a591bb41-2117-4a9c-85c1-4a5b8d9b4c32","CPER_047.basePlot.vst","2014-09-30",,"D10","CPER","CPER_047","tower","grasslandHerbaceous",40.818371,-104.746715,"WGS84",20.1,521360.03,4518625.70,"13N",1649.3,0.1,,"vst_CPER_2014",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,"noneSelected","noneSelected","10",400,400,400,80,"No qualifying stems for ShrubSapling or Liana","D10KJB24",,"legacyData"
"ce3b4cbc-6219-4611-abd1-dd686922b1bb","CPER_068.basePlot.vst","2014-09-30",,"D10","CPER","CPER_068","tower","grasslandHerbaceous",40.819722,-104.744935,"WGS84",10.1,521509.71,4518776.10,"13N",1645.1,0.1,,"vst_CPER_2014",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,"noneSelected","noneSelected","noneSelected",400,400,400,400,"No qualifying stems for ShrubSapling or Liana","D10KJB24",,"legacyData"
"b6dfc507-d3f2-4903-a028-66a3fdb4477c","CPER_073.basePlot.vst","2014-09-30",,"D10","CPER","CPER_073","tower","grasslandHerbaceous",40.819188,-104.744585,"WGS84",10.1,521539.40,4518716.91,"13N",1644.4,0.1,,"vst_CPER_2014",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,"noneSelected","noneSelected","10",400,400,400,80,"No qualifying stems for ShrubSapling or Liana","D10KJB24",,"legacyData"
"97611de0-7fe3-421b-9afe-e0067e1f603b","CPER_065.basePlot.vst","2014-09-30",,"D10","CPER","CPER_065","tower","grasslandHerbaceous",40.818362,-104.743864,"WGS84",10.1,521600.47,4518625.40,"13N",1645.6,0.1,,"vst_CPER_2014",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,"noneSelected","noneSelected","10",400,400,400,80,"No qualifying stems for ShrubSapling or Liana","D10KJB24",,"legacyData"
"663e5a08-50cb-4173-8c02-61ad9b09d648","CPER_064.basePlot.vst","2014-09-30",,"D10","CPER","CPER_064","tower","grasslandHerbaceous",40.818358,-104.745994,"WGS84",10.1,521420.84,4518624.43,"13N",1648.5,0.1,,"vst_CPER_2014",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,"noneSelected","noneSelected","noneSelected",400,400,400,400,"No qualifying stems for ShrubSapling or Liana","D10KJB24",,"legacyData"
"0250bc88-24c5-405d-bd63-2bfdd0dadb7b","CPER_050.basePlot.vst","2014-09-30",,"D10","CPER","CPER_050","tower","grasslandHerbaceous",40.818645,-104.744577,"WGS84",10.1,521540.25,4518656.64,"13N",1645.4,0.1,,"vst_CPER_2014",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,"noneSelected","noneSelected","10",400,400,400,80,"No qualifying stems for ShrubSapling or Liana","D10KJB24",,"legacyData"
"e77a253e-da33-4f4b-84e5-b6eac88fdaa1","CPER_055.basePlot.vst","2014-09-30",,"D10","CPER","CPER_055","tower","grasslandHerbaceous",40.819185,-104.745645,"WGS84",10.1,521450.01,4518716.32,"13N",1645.2,0.1,,"vst_CPER_2014",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,"noneSelected","noneSelected","10",400,400,400,80,"No qualifying stems for ShrubSapling or Liana","D10KJB24",,"legacyData"
"56acceea-1829-4e9b-b676-4acad4f1a2ad","CPER_072.basePlot.vst","2014-09-30",,"D10","CPER","CPER_072","tower","grasslandHerbaceous",40.817821,-104.746715,"WGS84",10.1,521360.21,4518564.65,"13N",1654.1,0.1,,"vst_CPER_2014",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,"noneSelected","noneSelected","10",400,400,400,80,"No qualifying stems for ShrubSapling or Liana","D10KJB24",,"legacyData"
"10460dcd-6228-4ce6-94f1-8aa6d0e149fd","CPER_060.basePlot.vst","2014-09-30",,"D10","CPER","CPER_060","tower","grasslandHerbaceous",40.817273,-104.746358,"WGS84",10.1,521390.49,4518503.90,"13N",1653.0,0.1,,"vst_CPER_2014",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,"noneSelected","noneSelected","noneSelected",400,400,400,400,"No qualifying stems for ShrubSapling or Liana","D10KJB24",,"legacyData"
